시도명,시군구명,행정구역_코드,행정동명,경도,위도
경기도,구리시,31120560,수택1동,127.1495652192884,37.59776802504298
경기도,구리시,31120570,수택2동,127.14350175906905,37.594238645069034
경기도,구리시,31120580,수택3동,127.14880851256369,37.580690015262945
경기도,구리시,31120530,인창동,127.12801398845488,37.608251784365
경기도,군포시,31160610,광정동,126.9257377419761,37.365970821667084
경기도,군포시,31160510,군포1동,126.95216683702104,37.354030161999766
경기도,군포시,31160520,군포2동,126.93893957783229,37.3414072879524
경기도,군포시,31160600,궁내동,126.9169360763113,37.364715158015954
경기도,군포시,31160560,금정동,126.94532034287171,37.36597376651002
경기도,군포시,31160630,대야동,126.90006201199259,37.33519650170483
경기도,군포시,31160540,산본1동,126.94001170092594,37.373041837489886
경기도,군포시,31160550,산본2동,126.92983594652756,37.37188172967353
경기도,군포시,31160640,송부동,126.92920326003814,37.32151652005394
경기도,군포시,31160590,수리동,126.91664968599144,37.351769560078814
경기도,군포시,31160580,오금동,126.92936533133553,37.34898968894442
경기도,군포시,31160570,재궁동,126.93734855192935,37.3585995680995
경기도,김포시,31230120,고촌읍,126.76286070286146,37.6065062146472
경기도,김포시,31230630,구래동,126.62742195094567,37.64519313115513
경기도,김포시,31230610,김포본동,126.71110601253872,37.63504220541774
경기도,김포시,31230340,대곶면,126.5714936832199,37.64636270221773
경기도,김포시,31230640,마산동,126.64149862921894,37.63914622382654
경기도,김포시,31230530,사우동,126.72608597628064,37.61912304640108
경기도,김포시,31230130,양촌읍,126.62494855662894,37.641740214194535
경기도,김포시,31230600,운양동,126.68537747489886,37.656050615676385
경기도,김포시,31230350,월곶면,126.55430093562282,37.736406236505445
경기도,김포시,31230560,장기동,126.67873894564495,37.637088315056545
경기도,김포시,31230620,장기본동,126.66329174364719,37.64794830441904
경기도,김포시,31230110,통진읍,126.59961573147432,37.69600615883398
경기도,김포시,31230540,풍무동,126.72236384917318,37.60620537539874
경기도,김포시,31230360,하성면,126.64131022555156,37.73667106610666
경기도,남양주시,31130530,금곡동,127.21216358283009,37.632035367106596
경기도,남양주시,31130580,다산1동,127.15661610358335,37.618813321892794
경기도,남양주시,31130590,다산2동,127.16906111903864,37.59747871158653
경기도,남양주시,31130570,별내동,127.11449386040624,37.6662850069053
경기도,남양주시,31130310,별내면,127.12624709465587,37.70987426351748
경기도,남양주시,31130340,수동면,127.30408665031898,37.72633739023843
경기도,남양주시,31130540,양정동,127.19158902328525,37.61089901711798
경기도,남양주시,31130150,오남읍,127.23146344116567,37.693812863224615
경기도,남양주시,31130110,와부읍,127.24710949391164,37.59402986171902
경기도,남양주시,31130350,조안면,127.2990608095237,37.56680542973194
경기도,남양주시,31130140,진건읍,127.18513388158564,37.65793433436785
