행정구,행정동,카테고리,리뷰수,평균평점,평균긍정점수,로그리뷰수,보정평점,보정긍정점수,인기도
경기 의정부시,장암동,문화,3,4.333333333333333,7.986666666666667,1.3862943611198906,3.9874728271430664,7.413036475449703,4.172619276595525
경기 부천시,심곡본동,문화,6,3.3333333333333335,6.043333333333333,1.9459101490553132,3.7807053904168497,6.9989069160184885,4.171920161024745
서울 강북구,수유3동,쇼핑,6,3.6666666666666665,5.671666666666667,1.9459101490553132,3.8640387237501828,6.905990249351823,4.168237865885501
서울 마포구,영등포본동,음식,4,4.25,6.4125000000000005,1.6094379124341003,3.9880422440911087,7.152898453838352,4.167878364975304
서울 강남구,상암동,음식,6,3.3333333333333335,5.988333333333333,1.9459101490553132,3.7807053904168497,6.985156916018489,4.167451455132357
경기 광명시,광명7동,액티비티,3,4.333333333333333,7.87,1.3862943611198906,3.9874728271430664,7.396369808783036,4.167202663392631
서울 송파구,방이2동,쇼핑,8,3.0,5.7725,2.1972245773362196,3.6437280526924765,6.842067922478606,4.167037855197272
경기 포천시,군내면,액티비티,32,2.625,5.1759375,3.4965075614664802,3.0947385874000877,5.946875319688875,4.165032810858531
경기 안산시,원곡동,힐링,13,3.0,5.249230769230769,2.6390573296152584,3.5399009474194965,6.450121483369153,4.164274873383236
경기 이천시,대월면,액티비티,7,3.4285714285714284,5.5371428571428565,2.0794415416798357,3.7894771748001754,6.818950639377749,4.163872570334647
경기 고양시,화정1동,문화,3,4.666666666666667,7.46,1.3862943611198906,4.035091874762114,7.3377983802116065,4.16331875040354
경기 양평군,세교동,음식,12,2.8333333333333335,5.456666666666667,2.5649493574615367,3.491230979000146,6.5731255328147915,4.162321638716596
경기 광명시,일직동,문화,6,3.3333333333333335,5.896666666666667,1.9459101490553132,3.7807053904168497,6.962240249351822,4.160003611978378
인천 미추홀구,용현2동,음식,6,3.5,5.7316666666666665,1.9459101490553132,3.8223720570835162,6.920990249351822,4.159855156034659
서울 강남구,역삼1동,힐링,4,3.5,6.975,1.6094379124341003,3.851678607727472,7.25517118111108,4.157727962138153
서울 중랑구,면목7동,힐링,3,4.0,7.946666666666666,1.3862943611198906,3.9398537795240185,7.4073221897354165,4.155610538659166
서울 종로구,잠원동,음식,9,2.888888888888889,5.615555555555556,2.302585092994046,3.5828492359260884,6.750139480905324,4.155385416557927
경기 부천시,옥길동,힐링,5,3.0,6.624,1.791759469228055,3.7276925813045385,7.166685477584511,4.154575892238313
경기 용인시,양지면,액티비티,51,2.6470588235294117,4.893137254901961,3.9512437185814275,2.9816946285507884,5.525561825861503,4.154397160438046
경기 고양시,장항2동,액티비티,6,3.5,5.640000000000001,1.9459101490553132,3.8223720570835162,6.898073582685156,4.152407312880681
서울 관악구,신원동,음식,8,2.75,5.8675,2.1972245773362196,3.5668049757694,6.871298691709375,4.152062078229833
서울 노원구,중계2·3동,힐링,4,3.75,6.5975,1.6094379124341003,3.897133153182018,7.186534817474715,4.149884267839083
경기 의왕시,내손2동,음식,8,3.5,5.07375,2.1972245773362196,3.79757420653863,6.627067922478606,4.14611491128035
경기 의정부시,의정부2동,힐링,3,4.0,7.73,1.3862943611198906,3.9398537795240185,7.376369808783035,4.145551114139506
인천 미추홀구,주안5동,문화,5,3.2,6.2940000000000005,1.791759469228055,3.771170842174104,7.094946347149728,4.145094986782494
서울 도봉구,방학1동,힐링,4,3.75,6.5024999999999995,1.6094379124341003,3.897133153182018,7.169262090201988,4.144270686883356
경기 연천군,장남면,힐링,4,3.25,6.977500000000001,1.6094379124341003,3.8062240622729266,7.255625726565625,4.143412784243563
서울 강서구,우장산동,힐링,2,5.0,10.0,1.0986122886681098,4.03684646850022,7.585688299222187,4.141789939081522
경기 평택시,은행2동,문화,2,5.0,10.0,1.0986122886681098,4.03684646850022,7.585688299222187,4.141789939081522
서울 용산구,이태원1동,문화,2,5.0,10.0,1.0986122886681098,4.03684646850022,7.585688299222187,4.141789939081522
경기 고양시,흥도동,액티비티,2,5.0,10.0,1.0986122886681098,4.03684646850022,7.585688299222187,4.141789939081522
경기 수원시,조종면,음식,2,5.0,10.0,1.0986122886681098,4.03684646850022,7.585688299222187,4.141789939081522
인천 동구,송현1·2동,쇼핑,2,5.0,10.0,1.0986122886681098,4.03684646850022,7.585688299222187,4.141789939081522
서울 강서구,화곡본동,힐링,2,5.0,10.0,1.0986122886681098,4.03684646850022,7.585688299222187,4.141789939081522
서울 중구,행당2동,음식,2,5.0,10.0,1.0986122886681098,4.03684646850022,7.585688299222187,4.141789939081522
인천 계양구,계산1동,문화,4,3.5,6.695,1.6094379124341003,3.851678607727472,7.204262090201988,4.14118267090022
경기 안양시,석수2동,힐링,5,3.6,5.837999999999999,1.791759469228055,3.8581273639132343,6.995815912367119,4.140546077088992
경기 안양시,달안동,힐링,3,4.0,7.62,1.3862943611198906,3.9398537795240185,7.3606555230687505,4.140444021691063
서울 강서구,우장산동,액티비티,2,5.0,9.955,1.0986122886681098,4.03684646850022,7.581188299222187,4.140327453516741
경기 고양시,정발산동,힐링,2,5.0,9.95,1.0986122886681098,4.03684646850022,7.580688299222187,4.140164955120654
경기 고양시,장항1동,액티비티,2,5.0,9.95,1.0986122886681098,4.03684646850022,7.580688299222187,4.140164955120654
서울 양천구,신정7동,힐링,2,5.0,9.945,1.0986122886681098,4.03684646850022,7.580188299222186,4.140002456724567
경기 양주시,포천동,음식,2,5.0,9.945,1.0986122886681098,4.03684646850022,7.580188299222186,4.140002456724567
경기 군포시,군포1동,힐링,2,5.0,9.940000000000001,1.0986122886681098,4.03684646850022,7.579688299222187,4.13983995832848
경기 광명시,소하1동,음식,4,3.0,7.16,1.6094379124341003,3.7607695168183812,7.288807544747442,4.13973386500193
인천 부평구,산곡3동,힐링,2,5.0,9.93,1.0986122886681098,4.03684646850022,7.578688299222188,4.139514961536307
서울 노원구,하계2동,힐링,2,5.0,9.93,1.0986122886681098,4.03684646850022,7.578688299222188,4.139514961536307
경기 용인시,이동읍,문화,2,5.0,9.93,1.0986122886681098,4.03684646850022,7.578688299222188,4.139514961536307
서울 종로구,이화동,쇼핑,2,5.0,9.91,1.0986122886681098,4.03684646850022,7.5766882992221865,4.138864967951959
