addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
서울특별시 종로구 경희궁길 42,(신문로2가),1,0.0,A02,A0206,A02060500,130154,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/42/1570442_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/1570442_image3_1.jpg,Type3,126.9696605,37.57351439,6.0,20240800000000.0,23,,성곡미술관,3175
서울특별시 서대문구 통일로 251,,1,0.0,A02,A0206,A02060300,130152,14,20071100000000.0,,,,126.9555507,37.57435848,6.0,20250300000000.0,14,,서대문형무소역사관,3732
서울특별시 종로구 삼청로 20,,1,0.0,A02,A0206,A02060300,130151,14,20071100000000.0,,,,126.9799484,37.57761687,6.0,20240500000000.0,23,,이리자 한복전시관,3062
서울특별시 서초구 남부순환로 2364 (서초동),,1,0.0,A02,A0206,A02060100,130125,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/92/2013392_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/92/2013392_image2_1.JPG,Type3,127.0090513,37.4784067,6.0,20250300000000.0,15,,국립국악박물관,6757
서울특별시 서초구 남부순환로 2364,,1,0.0,A02,A0206,A02061100,130124,14,20071100000000.0,,,,127.0088597,37.47783732,6.0,20240600000000.0,15,,국립국악원,6757
서울특별시 종로구 율곡로3길 87,(소격동),1,0.0,A02,A0206,A02060500,130072,14,20071100000000.0,,,,126.9818259,37.57951669,6.0,20250400000000.0,23,,아트선재센터,3062
서울특별시 중구 덕수궁길 61,,1,0.0,A02,A0206,A02060500,130071,14,20071100000000.0,,,,126.9736937,37.56416277,6.0,20240700000000.0,24,,서울시립미술관(서소문본관),4515
서울특별시 송파구 올림픽로 240 (잠실동),3층,1,0.0,A02,A0206,A02060100,130070,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/09/1570409_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/1570409_image3_1.jpg,Type3,127.0976312,37.51238212,6.0,20250300000000.0,18,,롯데월드 민속박물관,5554
서울특별시 동작구 상도로 369,(상도동),1,0.0,A02,A0206,A02060100,130067,14,20071100000000.0,,,,126.9572972,37.49624259,6.0,20241200000000.0,12,,숭실대학교 한국기독교박물관,6978
서울특별시 강남구 강남대로 546 (논현동),,1,0.0,A02,A0206,A02060500,129931,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/63/1837263_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/1837263_image3_1.jpg,Type3,127.0219103,37.51091704,6.0,20240900000000.0,1,,영동 예맥화랑,6110
서울특별시 강남구 삼성로147길 4,(청담동),1,0.0,A02,A0206,A02060500,129930,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/78/3413878_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/3413878_image3_1.jpg,Type3,127.0476549,37.52273002,6.0,20241100000000.0,1,,청화랑,6063
서울특별시 종로구 북촌로 94,,1,0.0,A02,A0206,A02060500,129928,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/46/684046_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/684046_image3_1.jpg,Type3,126.9854254,37.58518554,6.0,20240900000000.0,23,,이목화랑,3051
서울특별시 강남구 학동로 523,,1,0.0,A02,A0206,A02060500,129927,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/72/3413872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3413872_image3_1.jpg,Type3,127.0560653,37.52013881,6.0,20241100000000.0,1,,갤러리 서림,6072
서울특별시 강남구 압구정로 461 네이처 포엠,312호,1,0.0,A02,A0206,A02060500,129922,14,20071100000000.0,,,,127.0472465,37.52531027,6.0,20240500000000.0,1,,갤러리미,6011
서울특별시 강남구 논현로159길 24,(신사동),1,0.0,A02,A0206,A02060500,129921,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/75/3413875_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/3413875_image3_1.jpg,Type3,127.0260901,37.52298794,6.0,20241100000000.0,1,,다도화랑,6031
서울특별시 종로구 삼청로 54 (소격동),,1,0.0,A02,A0206,A02060500,129918,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/32/3384832_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/32/3384832_image3_1.JPG,Type3,126.9806426,37.58078874,6.0,20250300000000.0,23,,국제갤러리,3053
서울특별시 종로구 삼청로 14,(사간동),1,0.0,A02,A0206,A02060500,129917,14,20071100000000.0,http://tong.visitkorea.or.kr/cms/resource/50/1570450_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/1570450_image3_1.jpg,Type3,126.9798039,37.57730024,6.0,20240800000000.0,23,,갤러리 현대,3062
