addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,시도명,시군구명,법정동,행정동
경기도 남양주시 강변북로632번길 60 (수석동),,31,,음식,음식점,한식,799187,39,20090908014146,,,,127.1756552589,37.5869970888,6.0,20250404161408,9.0,031-554-1140,버드나무집,12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로632번길 6-44 수석빌딩,3층,31,,음식,음식점,카페/전통찻집,2855288,39,20220919154713,http://tong.visitkorea.or.kr/cms/resource/75/2855275_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2855275_image3_1.jpg,Type3,127.1709085067,37.585669379,6.0,20240411140715,9.0,,카페수석동198,12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로632번길 6-45,,31,,음식,음식점,한식,799603,39,20090908201745,http://tong.visitkorea.or.kr/cms/resource/15/1788215_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/1788215_image3_1.jpg,Type3,127.1715640048,37.5855999545,6.0,20250123152427,9.0,031-557-7318,초대,12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로632번길 66 (수석동),,31,,음식,음식점,카페/전통찻집,3013584,39,20230920175935,http://tong.visitkorea.or.kr/cms/resource/70/3013470_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/3013470_image3_1.JPG,Type3,127.1761079849,37.5873776083,6.0,20241127143924,9.0,,카페 뷰66 미호점,12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 강변북로651번길 24-1,(수석동),31,,레포츠,육상 레포츠,스케이트,2765498,28,20211102003100,http://tong.visitkorea.or.kr/cms/resource/15/2766315_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2766315_image2_1.jpg,Type3,127.1686920104,37.5867747663,6.0,20240610093243,9.0,,블랙아이스링크장,12268,경기도,남양주시,수석동,다산2동
경기도 남양주시 경강로 377,(삼패동),31,,음식,음식점,서양식,2767425,39,20211103181153,http://tong.visitkorea.or.kr/cms/resource/32/2767632_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/32/2767632_image2_1.jpeg,Type3,127.1997862374,37.5925357713,6.0,20240919094609,9.0,,파스타 아미고,12245,경기도,남양주시,삼패동,양정동
경기도 남양주시 경강로 780 푸른꽃,,31,,음식,음식점,한식,2867829,39,20221014161609,http://tong.visitkorea.or.kr/cms/resource/26/2867826_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2867826_image3_1.jpg,Type3,127.2290148666,37.5669115,6.0,20250120102856,9.0,,힘찬낙지,12270,경기도,남양주시,와부읍,와부읍
경기도 남양주시 경강로 832 라미레스토랑,,31,,음식,음식점,서양식,2829782,39,20220727160620,http://tong.visitkorea.or.kr/cms/resource/79/2829779_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2829779_image3_1.jpg,Type3,127.2320980499,37.5623565288,6.0,20240108131315,9.0,,엠키친앤카페,12270,경기도,남양주시,와부읍,와부읍
경기도 남양주시 경강로 868 아웃도어키친한강본점,,31,,음식,음식점,한식,2830777,39,20220801165534,http://tong.visitkorea.or.kr/cms/resource/68/2830768_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2830768_image3_1.jpg,Type3,127.2343840153,37.5601790453,6.0,20240118163916,9.0,,아웃도어키친 한강본점,12277,경기도,남양주시,와부읍,와부읍
경기도 남양주시 경강로 872,,31,,음식,음식점,카페/전통찻집,2865007,39,20221007143354,http://tong.visitkorea.or.kr/cms/resource/01/2865001_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2865001_image3_1.jpg,Type3,127.2348367631,37.5597902099,6.0,20240229133044,9.0,,팔당제빵소,12277,경기도,남양주시,와부읍,와부읍
경기도 남양주시 경강로 890 온누리장작구이,,31,,음식,음식점,한식,2830403,39,20220729141500,,,,127.2358450394,37.5585792575,6.0,20240625091341,9.0,,온누리장작구이 팔당본점,12277,경기도,남양주시,와부읍,와부읍
